iter	Passed	Remaining
729	3804	1407
730	3807	1401
731	3811	1395
732	3815	1389
733	3819	1384
734	3823	1378
735	3827	1372
736	3831	1367
737	3834	1361
738	3839	1356
739	3843	1350
740	3846	1344
741	3850	1338
742	3855	1333
743	3859	1328
744	3863	1322
745	3867	1316
746	3872	1311
747	3876	1305
748	3879	1300
749	3884	1294
750	3888	1289
751	3892	1283
752	3895	1277
753	3899	1272
754	3903	1266
755	3907	1261
756	3910	1255
757	3914	1249
758	3918	1244
759	3921	1238
760	3925	1232
761	3930	1227
762	3935	1222
763	3939	1216
764	3944	1211
765	3950	1206
766	3957	1202
767	3961	1196
768	3964	1190
769	3969	1185
770	3973	1180
771	3977	1174
772	3983	1169
773	3987	1164
774	3991	1158
775	3995	1153
776	3999	1147
777	4003	1142
778	4006	1136
779	4010	1131
780	4015	1125
781	4019	1120
782	4022	1114
783	4026	1109
784	4030	1104
785	4034	1098
786	4038	1093
787	4042	1087
788	4047	1082
789	4052	1077
790	4055	1071
791	4059	1066
792	4065	1061
793	4068	1055
794	4072	1050
795	4076	1044
796	4082	1039
797	4087	1034
798	4090	1029
799	4095	1023
800	4101	1018
801	4106	1013
802	4111	1008
803	4115	1003
804	4119	997
805	4122	992
806	4127	987
807	4131	981
808	4134	976
809	4139	970
810	4144	965
811	4148	960
812	4152	955
813	4156	949
814	4160	944
815	4164	939
816	4168	933
817	4172	928
818	4176	923
819	4180	917
820	4184	912
821	4188	906
822	4192	901
823	4195	896
824	4199	890
825	4203	885
826	4207	880
827	4212	875
828	4215	869
829	4219	864
830	4224	859
831	4227	853
832	4231	848
833	4235	843
834	4242	838
835	4246	833
836	4251	828
837	4260	823
838	4263	818
839	4268	812
840	4274	808
841	4278	802
842	4282	797
843	4285	792
844	4289	786
845	4293	781
846	4297	776
847	4301	771
848	4306	765
849	4311	760
850	4315	755
851	4319	750
852	4325	745
853	4328	740
854	4332	734
855	4336	729
856	4340	724
857	4344	719
858	4348	713
859	4352	708
860	4357	703
861	4361	698
862	4364	692
863	4370	687
864	4374	682
865	4378	677
866	4382	672
867	4386	667
868	4390	661
869	4393	656
870	4397	651
871	4402	646
872	4406	641
873	4411	635
874	4415	630
875	4422	626
876	4426	620
877	4430	615
878	4434	610
879	4438	605
880	4442	600
881	4445	594
882	4449	589
883	4455	584
884	4459	579
885	4463	574
886	4468	569
887	4472	564
888	4475	558
889	4480	553
890	4484	548
891	4488	543
892	4491	538
893	4495	532
894	4499	527
895	4503	522
896	4506	517
897	4510	512
898	4514	507
899	4518	502
900	4522	496
901	4526	491
902	4529	486
903	4533	481
904	4537	476
905	4541	471
906	4545	466
907	4551	461
908	4555	456
909	4559	450
910	4563	445
911	4567	440
912	4571	435
913	4575	430
